time,x,y,z
156,6,269,-5
166,8,255,-4
177,4,272,-5
187,15,265,-3
196,12,266,-5
206,6,272,-6
216,10,269,-4
226,13,265,-5
236,8,272,-6
245,9,270,-1
256,10,268,-9
266,7,270,-5
275,7,272,0
285,9,269,-7
295,11,267,-5
305,5,274,-6
315,12,269,-3
324,11,268,-13
334,8,271,-5
345,11,270,-1
354,12,266,-7
364,8,270,-8
373,9,271,-3
384,9,267,-6
394,11,266,-5
403,11,268,-13
413,9,273,-2
423,12,270,-6
433,10,267,-7
443,9,270,-6
453,10,271,-6
462,14,265,-3
473,9,267,-10
482,9,269,-7
492,9,269,-3
502,12,268,0
512,10,269,-6
522,9,272,-4
531,10,270,-6
541,12,264,-8
551,9,268,-6
561,8,270,-4
571,13,268,-5
581,12,266,-8
590,6,268,0
601,9,269,-6
611,12,268,-9
620,9,269,0
630,11,268,-4
640,10,267,-10
685,8,269,-7
690,7,275,-10
699,10,269,0
709,9,270,-7
718,8,270,0
729,10,269,-10
739,8,267,-6
748,9,272,-1
758,7,269,-11
769,10,272,-6
778,12,267,-6
788,11,267,-6
797,8,269,-4
807,11,267,-3
818,12,264,-5
827,5,271,-5
837,10,271,-3
847,12,263,-10
857,8,269,-5
867,8,265,0
876,11,266,-6
886,11,272,-8
897,11,269,-2
906,12,267,-4
916,8,270,-9
926,7,272,-4
935,10,269,-2
946,10,270,-8
955,7,272,-5
965,10,269,-3
975,13,265,-6
985,11,266,-5
995,10,271,-7
1005,8,272,-2
1014,10,268,-3
1025,11,266,-8
1034,8,272,-6
1044,12,267,-8
1054,11,267,-7
1063,9,272,-2
1074,11,268,-10
1084,8,268,-6
1093,11,269,1
1103,10,268,-7
1113,6,273,0
1123,10,271,-7
1133,11,267,-11
1142,8,271,-2
1153,9,269,-3
1163,7,271,-8
1208,9,268,-6
1212,14,263,-6
1221,9,267,-10
1231,8,269,-3
1242,11,267,-6
1251,9,271,-8
1261,13,267,-4
1270,9,269,-8
1281,9,270,-1
1291,10,268,-2
1300,7,271,0
1310,10,271,-4
1320,9,271,-6
1330,12,265,-3
1340,11,264,-6
1349,8,269,-4
1359,10,267,-6
1370,9,270,-10
1379,9,271,-6
1389,11,266,-6
1399,8,270,-7
1409,11,271,-2
1419,12,267,-5
1428,11,269,-7
1438,10,271,2
1448,9,271,-5
1458,8,270,-10
1468,9,270,-5
1478,12,271,-2
1487,12,266,-1
1498,10,267,-12
1507,6,270,-2
1517,13,268,-2
1527,9,273,-5
1537,10,273,-3
1547,11,265,-7
1557,10,266,-9
1566,9,271,-1
1576,11,267,-10
1586,12,270,-4
1596,12,266,-4
1606,8,270,-4
1615,6,272,-2
1626,9,270,-1
1636,11,268,-11
1645,7,271,-7
1655,11,268,0
1665,7,267,-4
1675,6,268,-9
1685,13,266,-3
1730,8,267,-7
1734,7,269,-12
1743,10,269,-5
1754,11,267,-11
1764,7,272,-5
1773,12,267,-9
1783,6,272,-5
1794,11,267,-3
1803,10,268,-9
1813,7,270,-2
1822,10,266,-8
1832,7,272,-9
1843,11,271,-1
1852,13,267,-6
1862,10,270,-6
1872,11,269,-1
1882,11,267,-7
1892,9,270,-5
1901,11,270,-2
1911,10,268,-7
1922,6,270,0
1931,13,267,-5
1941,14,268,-7
1951,4,272,-6
1960,12,265,-5
1971,13,269,-1
1980,5,272,-4
1990,9,268,-1
2000,15,264,-8
2010,10,269,-9
2020,8,271,-3
2030,11,266,-1
2039,9,268,-7
2050,7,273,-4
2059,10,270,-4
2069,8,273,-9
2079,8,274,-2
2088,10,267,-7
2099,11,267,-11
2109,9,270,-2
2118,13,267,-6
2128,10,269,-6
2138,13,269,-3
2148,12,270,-8
2158,6,271,-7
2167,10,270,-1
2178,11,269,-9
2188,8,268,-7
2197,12,266,1
2207,10,269,-6
2252,9,266,-7
2256,10,268,-9
2267,7,271,-10
2276,10,269,-6
2286,12,268,-6
2295,7,271,-9
2306,9,272,-8
2316,10,267,-7
2325,9,274,-7
2335,12,270,-3
2345,12,268,-11
2355,10,270,-10
2365,8,272,-3
2374,13,267,-3
2384,15,263,-5
2395,7,269,-3
2404,13,268,-2
2414,10,267,-11
2424,6,272,-7
2434,14,269,-1
2444,12,266,-8
2453,7,269,-6
2463,8,268,-4
2473,12,269,-4
2483,12,265,-10
2493,10,267,-10
2503,9,273,0
2512,11,269,-5
2523,11,268,-9
2532,8,271,-4
2542,10,267,-5
2552,11,267,-10
2562,9,267,-10
2572,11,272,-5
2582,12,264,-6
2591,10,273,-5
2601,10,271,1
2612,10,268,-7
2621,8,272,-8
2631,7,271,-5
2640,13,266,-5
2651,10,268,-10
2661,9,271,-3
2670,11,271,-5
2680,9,268,-10
2690,11,269,-2
2700,12,269,-3
2710,8,273,-6
2719,9,271,-4
2729,9,268,-8
2778,8,270,-5
2779,6,272,2
2789,8,267,-5
2798,10,270,-9
2808,13,265,-2
2819,10,267,-3
2828,5,272,-4
2838,11,268,-1
2848,12,266,-11
2857,8,267,-2
2868,9,267,-1
2877,12,266,-10
2887,10,265,-11
2897,7,273,-3
2907,10,270,-2
2917,9,269,-8
2926,11,269,-8
2936,6,267,-3
2947,10,269,0
2956,10,265,-5
2966,9,272,-8
2976,9,273,-3
2985,11,269,-3
2996,14,266,-5
3006,6,270,0
3015,10,268,-5
3025,12,268,-11
3035,8,271,-4
3045,8,270,-3
3055,11,264,-9
3064,7,271,-8
3075,10,272,-5
3085,11,268,-8
3094,9,272,-5
3104,12,267,-3
3113,11,266,-8
3124,13,268,1
3134,9,270,-8
3143,9,271,-4
3164,8,271,-3
3173,12,266,-7
3183,10,270,-4
3192,14,273,-3
3203,14,266,-4
3213,10,269,-8
3222,6,271,-1
3232,14,267,-1
3243,11,266,-10
3252,6,268,-2
3262,8,269,-6
3307,8,266,-4
3311,8,275,1
3321,8,268,-1
3331,14,264,-6
3341,10,268,-7
3350,10,273,-1
3360,11,266,-9
3371,9,268,-6
3380,12,266,-2
3390,11,268,-6
3400,10,269,-1
3409,11,266,-5
3420,11,270,-7
3429,10,269,-4
3439,15,265,-5
3449,8,269,-7
3459,10,272,-5
3469,15,265,-8
3479,12,268,-6
3488,13,271,0
3499,10,268,-5
3508,8,271,-2
3518,10,269,-11
3528,8,272,-5
3537,11,266,-9
3548,11,268,-6
3558,9,270,-5
3567,13,268,-1
3577,12,266,-10
3587,11,267,-9
3597,11,272,-3
3607,13,269,-5
3616,9,270,-5
3627,9,269,1
3637,9,269,-7
3646,13,267,-9
3656,9,271,-7
3665,11,268,-3
3676,12,267,-8
3686,10,272,-7
3695,11,268,-2
3705,10,270,-5
3716,7,273,-5
3725,11,268,-1
3735,9,269,-10
3744,9,270,-5
3755,12,265,-3
3765,9,269,-10
3774,10,272,-9
3784,13,265,-6
3829,9,267,-6
3833,8,268,-9
3844,8,270,0
3853,8,271,-7
3863,8,272,-9
3873,14,265,-6
3883,11,269,-8
3893,10,270,-2
3902,8,269,-7
3912,8,272,-10
3922,6,270,-4
3932,12,267,-1
3942,7,269,-7
3952,7,273,-5
3961,14,264,-8
3972,9,267,-9
3981,9,271,-2
3991,13,270,-2
4001,10,270,-7
4011,9,270,-1
4021,14,265,-4
4031,9,270,-9
4040,6,269,0
4050,11,272,-9
4060,10,270,-10
4070,7,271,-4
4080,10,267,-4
4089,10,270,-10
4100,12,270,-6
4110,13,266,-2
4119,8,271,-4
4129,7,272,2
4139,10,267,-5
4149,12,265,-7
4159,9,271,-3
4168,10,269,-7
4178,8,268,-10
4189,13,265,-4
4198,10,270,-10
4208,10,273,-3
4217,11,270,-2
4228,9,271,-8
4238,10,271,-2
4247,13,266,-4
4257,9,271,-3
4268,9,271,-5
4277,13,266,-4
4287,5,271,-6
4296,9,270,-2
4306,10,268,-11
4352,9,267,-8
4356,5,271,0
4366,10,271,-5
4375,9,271,-9
4385,12,266,-5
4396,13,264,-7
4405,8,272,-6
4415,12,270,-2
4425,9,272,-11
4434,12,269,-3
4445,12,265,-5
4454,5,271,-6
4464,6,269,-2
4474,11,267,-8
4484,9,267,-7
4494,10,270,-3
4504,14,264,-10
4513,10,271,-5
4524,12,272,-1
4534,11,266,-5
4543,11,272,-1
4553,9,269,-3
4562,9,268,-7
4573,8,272,-4
4583,12,268,-5
4592,12,267,-12
4602,7,267,-1
4612,10,265,-8
4622,10,272,-11
4632,14,264,-7
4641,11,267,-11
4652,12,267,-4
4662,10,269,-8
4671,11,269,-4
4681,10,269,-7
4691,10,271,-7
4701,12,265,-2
4711,9,268,-7
4720,5,274,-10
4730,11,272,-6
4741,9,267,-9
4750,9,268,-10
4760,10,273,-2
4770,9,267,-8
4780,7,270,-6
4790,10,269,-5
4799,10,268,-7
4809,6,272,-1
4819,12,264,-2
4829,7,269,-7
4875,9,266,-5
4878,9,268,-8
4888,10,271,-4
4898,12,269,-5
4908,5,275,-5
4918,12,267,-2
4928,12,263,-10
4937,5,268,-2
4947,12,267,-6
4957,5,273,-6
4967,13,271,-4
4977,10,269,-7
4986,11,267,-2
4997,10,266,-10
5007,7,272,-3
5016,11,274,-1
5026,10,269,-9
5036,6,271,-7
5046,13,267,-4
5056,9,269,-5
5065,5,271,-3
5075,12,267,-5
5086,10,267,-8
5095,9,270,-3
5105,10,267,-6
5114,9,270,0
5125,9,267,-6
5135,9,270,-7
5144,9,272,1
5154,10,269,-7
5165,8,268,-5
5174,11,266,0
5184,9,271,-5
5193,9,275,-4
5203,11,267,-6
5214,9,270,-7
5223,14,264,-4
5233,9,269,-14
5243,8,270,-4
5253,8,269,-8
5263,7,269,-5
5272,11,267,-6
5282,11,271,-7
5293,12,273,-1
5302,11,265,-6
5312,8,270,-2
5322,12,266,-3
5331,11,269,-10
5342,10,271,-1
5351,15,265,-2
5399,9,270,-1
5401,10,266,-4
5410,9,269,-13
5421,9,273,-4
5430,9,270,-7
5440,10,275,-7
5450,14,267,-5
5459,9,271,-7
5470,11,268,-1
5480,7,271,-7
5489,7,271,-1
5499,11,266,-7
5509,8,270,-9
5519,12,270,-3
5529,13,266,-6
5538,10,271,-4
5549,11,270,-5
5559,11,268,-11
5568,14,269,-1
5578,12,266,-8
5587,9,269,-5
5598,7,269,-3
5608,11,266,-6
5617,8,265,-9
5627,6,271,-2
5638,12,266,-7
5647,8,271,-9
5657,13,262,-10
5666,10,271,-6
5677,14,266,-8
5687,9,270,-9
5696,11,268,0
5706,10,268,-6
5716,10,271,-2
5726,9,268,-2
5736,8,268,-7
5745,4,272,-10
5755,8,271,-4
5766,11,268,-9
5775,10,274,-8
5785,11,269,-5
5795,10,270,-10
5805,9,272,-2
5815,11,266,-7
5824,7,270,-5
5834,10,268,-8
5844,6,273,-5
5854,13,266,-2
5864,8,272,-3
5874,10,269,-2
5919,9,266,-7
5923,10,271,1
5933,12,266,-4
5943,7,272,-9
5953,10,270,0
5962,7,273,-10
5972,9,272,-8
5983,10,269,-4
5992,10,269,-8
6002,7,271,-8
6011,11,270,-5
6022,11,267,-10
6032,13,267,-3
6041,12,268,-9
6051,5,272,0
6062,7,270,-6
6071,9,273,-11
6081,9,271,-4
6090,9,268,-8
6100,11,271,-4
6111,12,268,-3
6120,8,268,-12
6130,10,270,-1
6140,11,266,-13
6150,8,270,-3
6160,13,263,-3
6169,8,270,-6
6179,8,270,-2
6190,11,267,-11
6199,9,271,-8
6209,13,267,-8
6219,8,273,-6
6228,11,268,-9
6239,8,272,-5
6248,14,267,-5
6258,6,274,-7
6268,10,269,-1
6278,8,266,-11
6288,6,272,-4
6298,12,267,-8
6307,11,269,-6
6318,9,267,-6
6327,7,269,-10
6337,9,269,-8
6347,11,268,-4
6356,9,271,-4
6367,10,271,-1
6377,12,265,-7
6386,8,274,-4
6396,14,267,1
6441,8,267,-8
6446,12,270,-1
6456,11,268,-10
6465,10,271,-6
6475,11,269,-3
6484,9,269,-6
6495,10,271,-6
6505,10,267,-9
6514,8,271,-6
6524,13,266,-1
6535,10,268,-6
6544,5,269,2
6554,9,269,-4
6563,7,272,-10
6574,8,272,-4
6584,12,265,-9
6593,8,272,-2
6603,12,267,-7
6614,10,272,0
6623,11,269,-3
6633,10,269,-10
6642,12,268,-5
6652,10,269,-8
6663,9,272,-1
6672,12,266,-8
6682,6,272,1
6692,13,267,-4
6702,6,271,-6
6712,9,270,-4
6721,12,268,-9
6731,10,269,-4
6742,13,267,-6
6751,8,272,-4
6761,14,265,-2
6771,8,271,-2
6780,12,268,1
6791,7,270,-8
6800,9,271,-2
6810,7,270,-10
6820,10,270,-3
6830,12,265,-4
6840,8,272,-5
6850,9,270,-4
6859,9,267,-11
6870,8,270,-6
6879,10,269,-2
6889,13,267,-5
6899,10,268,-11
6908,13,270,-1
6919,13,266,-7
6964,9,268,-6
6968,11,267,-9
6978,8,273,-7
6987,14,266,-3
6998,11,268,-6
7008,12,267,-1
7017,13,266,-3
7027,9,270,-4
7036,11,268,-2
7047,10,266,-8
7057,9,270,0
7066,9,269,-8
7076,9,268,-6
7087,10,269,-2
7096,8,271,-11
7106,9,271,-4
7115,8,269,-7
7126,11,271,2
7136,9,270,-4
7145,10,270,-2
7155,15,268,-6
7165,9,270,-5
7175,11,269,-3
7185,8,272,-6
7195,8,272,0
7204,12,266,-7
7215,12,267,-8
7224,11,272,-8
7234,13,264,-5
7244,10,269,-7
7254,12,269,1
7264,9,268,-7
7273,7,270,-2
7283,11,268,-4
7293,7,272,-1
7303,11,264,-7
7313,6,272,-4
7323,13,266,-6
7332,15,269,-9
7343,11,265,-2
7353,12,268,-7
7362,5,273,-7
7372,11,271,-4
7382,12,268,-8
7392,13,268,-1
7402,9,270,-13
7411,15,268,-5
7421,9,268,-11
7432,13,268,0
7441,9,270,-5
7491,9,266,-10
7500,9,270,-1
7511,12,269,-3
7520,10,270,-10
7530,14,266,-6
7539,9,273,-6
7549,13,270,-4
7560,11,267,-7
7569,9,269,0
7579,11,267,-5
7589,7,272,-2
7599,11,269,-3
7609,7,270,-8
7618,8,272,-4
7628,13,267,-6
7639,10,269,-4
7648,13,268,-2
7658,11,270,-7
7668,8,271,-1
7677,13,266,-10
7688,5,270,-7
7697,11,267,-3
7707,10,268,-9
7717,12,269,0
7727,9,269,-7
7737,8,271,-6
7747,12,267,-12
7756,4,268,-1
7767,13,267,-8
7776,6,270,-6
7786,11,268,-5
7796,8,269,-9
7805,13,268,-1
7816,9,268,-7
7826,10,269,-3
7835,13,265,-13
7845,7,273,-7
7855,12,268,-9
7865,9,271,0
7875,8,269,-5
7884,5,272,-3
7895,8,268,-3
7905,7,270,-9
7914,8,271,1
7924,10,270,-10
7933,8,270,-8
7944,12,268,-5
7954,12,266,-10
7963,6,273,-5
7973,14,265,-3
8022,9,271,-8
8023,9,265,-3
8033,12,268,-6
8042,10,270,-7
8052,10,270,-2
8062,15,266,-9
8072,12,268,-8
